연번,구분,채널명,채널 ID,URL
1,신문사,조선일보,UCdp4_yTBhQmB8E339Lafzow,https://www.youtube.com/channel/UCdp4_yTBhQmB8E339Lafzow
2,신문사,중앙일보,UCH3mJ-nHxjjny2FJbJaqiDA,https://www.youtube.com/channel/UCH3mJ-nHxjjny2FJbJaqiDA
3,신문사,동아일보,UCnHyx6H7fhKfUoAAaVGYvxQ,https://www.youtube.com/channel/UCnHyx6H7fhKfUoAAaVGYvxQ
4,신문사,한겨레,UCugbqfMO94F9guLEb6Olb2A,https://www.youtube.com/channel/UCugbqfMO94F9guLEb6Olb2A
5,신문사,경향신문,UCHXvjavEtkPFJCfGlm0wTXw,https://www.youtube.com/channel/UCHXvjavEtkPFJCfGlm0wTXw
6,신문사,오마이뉴스,UClAfLVQYZSLrMAQQ_SXPVZw,https://www.youtube.com/channel/UClAfLVQYZSLrMAQQ_SXPVZw
7,지상파 3사,KBS News,UCcQTRi69dsVYHN3exePtZ1A,https://www.youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A
8,지상파 3사,MBC News,UCF4Wxdo3inmxP-Y59wXDsFw,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw
9,지상파 3사,SBS News,UCkinYTS9IHqOEwR1Sze2JTw,https://www.youtube.com/channel/UCkinYTS9IHqOEwR1Sze2JTw
10,지상파 3사,KBS 한국방송,UC3m0s5XAQydCtbLHc8j1Uog,https://www.youtube.com/channel/UC3m0s5XAQydCtbLHc8j1Uog
11,지상파 3사,MBC Entertainment,UCiBr0bK06imaMbLc8sAEz0A,https://www.youtube.com/channel/UCiBr0bK06imaMbLc8sAEz0A
12,지상파 3사,SBS Entertainment,UCmjNKt6kITwaZTqvWuaSPLg,https://www.youtube.com/channel/UCmjNKt6kITwaZTqvWuaSPLg
13,종편 4사,TV조선,UCWlV3Lz_55UaX4JsMj-z__Q,https://www.youtube.com/channel/UCWlV3Lz_55UaX4JsMj-z__Q
14,종편 4사,MBN News,UCG9aFJTZ-lMCHAiO1KJsirg,https://www.youtube.com/channel/UCG9aFJTZ-lMCHAiO1KJsirg
15,종편 4사,채널A News,UCfq4V1DAuaojnr2ryvWNysw,https://www.youtube.com/channel/UCfq4V1DAuaojnr2ryvWNysw
16,종편 4사,JTBC News,UCsU-I-vHLiaMfV_ceaYz5rQ,https://www.youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ
17,종편 4사,JTBC Entertainment,UCFL1sCAksD6_7JIZwwHcwjQ,https://www.youtube.com/channel/UCFL1sCAksD6_7JIZwwHcwjQ
,,,,
,,,,
